EnglishName,NepaliName,District,Election,Gender,party
Rajendra Prasad Pande,राजेन्द्र प्रसाद पाण्डे,Dhading,Direct,Male,NCP(Unified Socialist)
Raju Thapa,राजु थापा,Syangja,Direct,Male,nepalicongress
Ram Krishna Yadav,राम कृष्ण यादव,Dhanusa,Direct,Male,nepalicongress
Ram Kumari Rai,राम कुमार राई,Khotang,Direct,Male,MoistCenter
Ram Prakash Chaudhary,रामप्रकाश चौधरी,Sarlahi,Direct,Male,laktantricSamajbadiParty
Ram Shankar Yadav,राम शंकर यादव,Siraha,Direct,Male,NCP(UML)
Rama Koirala Poudyal,रमा कोईराला पौड्याल,Bhaktapur,Proportion,Female,nepalicongress
Ramesh Lekhak,रमेश लेखक,Kanchanpur,Direct,Male,nepalicongress
Ramesh Rijal,रमेश रिजाल,Parsa,Direct,Male,nepalicongress
Ramhari Khatiwada,रामहरि खतिवडा,Okhaldhunga,Direct,Male,nepalicongress
Ramnath Adhikari,राम नाथ अधिकारी,Dhading,Direct,Male,nepalicongress
Rana Kumari Balampaki Magar,रण कुमारी बलम्पाकी मगर,Sindhuli,Proportion,Female,NCP(UML)
Ranendra Barali,रणेन्द्र बराली,Chitwan,Proportion,Male,MoistCenter
Ranjita Shrestha,रन्जिता श्रेष्ठ,Kailali,Direct,Female,nagrikUnmuktiparty
Ranju Kumari Jha,रन्जु कुमारी झा,Saptari,Proportion,Female,JanataSamajbadiparty
Ravi Lamichhane,रवि लामिछाने,Chitwan,Direct,Male,NationalindependentParty
Rekha Sharma,रेखा शर्मा,Dang,Direct,Female,MoistCenter
Rekha Yadav,रेखा यादव,Morang,Proportion,Female,SamajbadiParty
Rishikesh Pokhrel,ऋषिकेश पोखरेल,Morang,Direct,Male,NCP(UML)
Roshan Karki,रोसन कार्की,Lalitpur,Proportion,Female,RastriyaPrajatantraParty
Rukmani Rana  Baraily,रुक्मणी राना बराइली,Kavrepalanchowk,Proportion,Female,NCP(UML)
Rupa B.K.,रुपा वि.क.,Kapilbastu,Proportion,Female,nepalicongress
Rupa Sosi (Chaudhary),रुपा सो.शी. (चौधरी),Kailali,Proportion,Female,MoistCenter
Samjhana Thapaliya,सम्झना थपलिया,Siraha,Proportion,Female,NCP(UML)
Sangita Mandal Dhanuk,संगिता मण्डल धानुक,Mahottari,Proportion,Female,nepalicongress
Sanjaya Kumar Gautam,संजयकुमार गौतम,Bardiya,Direct,Male,nepalicongress
Santosh Chalise,सन्तोष चालिसे,Kathmandu,Direct,Male,nepalicongress
Santosh Pariyar,सन्तोष परियार,Bhaktapur,Proportion,Male,NationalindependentParty
Sapana Raj Bhandari,सपना राज भण्डारी,Kathmandu,Proportion,Female,nepalicongress
Saraj Ahmad Faruki,सराज अहमद फारुकी,Kapilbastu,Proportion,Male,NCP(UML)
Saraswati Bajimaya,सरस्वती वजिमय,Khotang,Proportion,Female,nepalicongress
Saraswati Subba,सरस्वती सुब्बा,Sarlahi,Proportion,Female,NCP(UML)
Sarbendra Nath Shukla,सर्वेन्द्र नाथ सुक्ला,Rupandehi,Direct,Male,laktantricSamajbadiParty
Sarita Bhusal,सरिता भुसाल,Nawalparasi,Proportion,Female,NCP(UML)
Sarita Prasai,सरिता प्रसाई,Jhapa,Proportion,Female,nepalicongress
Shakti Bahadur Basnet,शक्ति बहादुर बस्नेत ,Jajarkot,Direct,Male,MoistCenter
Shankar Bhandari,शंकर भण्डारी,Tanahun,Direct,Male,nepalicongress
Shanti B.K.,शान्ती वि.क.,Chitwan,Proportion,Female,nepalicongress
Shanti Chaudhary,सान्ती चौधरी,Bardiya,Proportion,Female,NCP(UML)
Shanti Shrestha,शान्ती श्रेष्ठ,Kathmandu,Proportion,Female,NCP(UML)
Sharat Singh Bhandari,शरत सिंह भण्डारी,Mahottari,Direct,Male,laktantricSamajbadiParty
Sher Bahadur Deuba,शेर बहादुर देउवा,Dadeldhura,Direct,Male,nepalicongress
Sher Bahadur Kunwar,शेर बहादुर कुँवर,Achham,Direct,Male,NCP(Unified Socialist)
Shishir Khanal,शिशिर खनाल,Kathmandu,Direct,Male,NationalindependentParty
Shiva Nepali,शिव नेपाली,Kaski,Proportion,Male,NationalindependentParty
Shova Gyawali,शोभा ज्ञवाली,Bardiya,Proportion,Female,NCP(UML)
Shyam Kumar Ghimire,श्याम कुमार घिमिरे,Sindhuli,Direct,Male,nepalicongress
Sita Gurung,सीता गुरुङ्ग,Terhathum,Direct,Female,nepalicongress
Sita Kumari Rana,सिता कुमारी राना ,Dailekh,Proportion,Female,nepalicongress
Sita Mijar,सिता मिजार,Nuwakot,Proportion,Female,nepalicongress
Sobita Gautam,सोविता गौतम,Kathmandu,Direct,Female,NationalindependentParty
Sonu Murmu,सोनु मुर्मु,Morang,Proportion,Female,janmatparty
Subash Chandra Nemwang,सुवास चन्द्र नेम्वाङ,Ilam,Direct,Male,NCP(UML)
Sudan Kirati,सुदन किराती,Bhojpur,Direct,Male,MoistCenter
Suhang Nembang,सुहाङ्ग नेम्वाङ्ग,Ilam,Direct,Male,NCP(UML)
Sumana Shrestha,सुमना श्रेष्ठ,Kathmandu,Proportion,Female,NationalindependentParty
Sunita Baral,सुनिता बराल,Jhapa,Proportion,Female,NCP(UML)
Surendra Raj Acharya,सुरेन्द्र राज आचार्य,Kapilbastu,Direct,Male,nepalicongress
Surya Bahadur Thapa Chhetri ,सूर्य बहादुर थापा क्षेत्री,Pyuthan,Direct,Male,NCP(UML)
Surya Kumari Shrestha,सुर्य कुमारी श्रेष्ठ,Dailekh,Proportion,Female,NCP(UML)
Surya Man Tamang (Dong),सुर्यमान तामाङ (दोङ),Kavrepalanchowk,Direct,Male,MoistCenter
Surya Prasad Dhakal,सुर्य प्रसाद ढकाल,Banke,Direct,Male,NCP(UML)
Sushil Thing,सुशिला थिङ,Sindhuli,Proportion,Female,nepalicongress
Sushila Shrestha,सुशीला श्रेष्ठ,Udayapur,Proportion,Female,JanataSamajbadiparty
Sushila Sripali Thakuri,सुशिला सिर्पाली ठकुरी,Arghakhanchi,Proportion,Female,MoistCenter
Tara Lama Tamang,तारा लामा तामाङ,Kanchanpur,Direct,Male,NCP(UML)
Teju Lal Chaudhary,तेजु लाल चौधरी,Saptari,Direct,Male,nepalicongress
Tek Bahadur Gurung,टेक बहादुर गुरुङ,Manang,Direct,Male,nepalicongress
Thakur Prasad Gaire,ठाकुर प्रसाद गैरे,Palpa,Direct,Male,NCP(UML)
Top Bahadur Rayamajhi,टोप बहादुर रायमाझी,Arghakhanchi,Direct,Male,NCP(UML)
Udaya Shumsher J.B. Rana,उदय शंशेर ज.व.राणा,Lalitpur,Direct,Male,nepalicongress
Umaravati Devi ,उमरावती देवी,Bara,Proportion,Female,MoistCenter
Upendra Yadav,उपेन्द्र यादव,Bara,Direct,Male,SamajbadiParty
Urmila Majhi,उर्मिला माझी,Lamjung,Proportion,Female,MoistCenter
Urmila Thebe,उर्मिला थेबे,Taplejung,Proportion,Female,NCP(UML)
Yen Bahadur Shahi Thakuri,ऐन बहादुर शाही ठकुरी,Mugu,Direct,Male,nepalicongress
Yogendra Mandal,योगेन्द्र मण्डल,Morang,Direct,Male,independent
Yogesh Gauchan Thakali,योगेश गौचन थकाली,Mustang,Direct,Male,nepalicongress
